epsilon,standard_fgsm_acc,standard_pgd_acc,pgd_at_fgsm_acc,pgd_at_pgd_acc,fgsm_at_fgsm_acc,fgsm_at_pgd_acc,smooth_defence_fgsm_acc,smooth_defence_pgd_acc
0.0,0.9805555555555555,0.9805555555555555,0.975,0.975,0.9833333333333333,0.9833333333333333,0.8138888888888889,0.8138888888888889
0.05,0.8583333333333333,0.8583333333333333,0.95,0.95,0.9444444444444444,0.9444444444444444,0.6416666666666667,0.65
0.1,0.5888888888888889,0.5694444444444444,0.8694444444444445,0.8583333333333333,0.8694444444444445,0.8527777777777777,0.46944444444444444,0.4444444444444444
0.15,0.2222222222222222,0.14444444444444443,0.7138888888888889,0.65,0.6916666666666667,0.6444444444444445,0.25,0.26666666666666666
0.2,0.09166666666666666,0.016666666666666666,0.43333333333333335,0.29444444444444445,0.4527777777777778,0.32222222222222224,0.12222222222222222,0.08611111111111111
0.3,0.019444444444444445,0.0,0.041666666666666664,0.002777777777777778,0.044444444444444446,0.0,0.030555555555555555,0.0
