Model,Clean accuracy,FGSM acc ε=0.15,PGD  acc ε=0.15
Standard,0.9805555555555555,0.2222222222222222,0.14444444444444443
FGSM-AT,0.9833333333333333,0.6916666666666667,0.6444444444444445
PGD-AT,0.975,0.7138888888888889,0.65
